AREA,ValidTimeUTC,SGFHGT,SGFPER
NPHAS_ISHK,2021-11-29 00:00:00,0.8,6.0
NPHAS_ISHK,2021-11-29 03:00:00,1.0,4.0
NPHAS_ISHK,2021-11-29 06:00:00,1.1,4.0
NPHAS_ISHK,2021-11-29 09:00:00,1.1,4.0
NPHAS_ISHK,2021-11-29 12:00:00,1.3,4.0
NPHAS_ISHK,2021-11-29 15:00:00,2.0,6.0
NPHAS_ISHK,2021-11-29 18:00:00,1.1,4.0
NPHAS_ISHK,2021-11-29 21:00:00,0.8,6.0
NPHAS_ISHK,2021-11-30 00:00:00,0.7,6.0
NPHAS_ISHK,2021-11-30 03:00:00,0.7,6.0
NPHAS_ISHK,2021-11-30 06:00:00,0.6,2.0
NPHAS_ISHK,2021-11-30 09:00:00,0.5,2.0
NPHAS_ISHK,2021-11-30 12:00:00,0.7,3.0
NPHAS_ISHK,2021-11-30 15:00:00,0.6,3.0
NPHAS_ISHK,2021-11-30 18:00:00,0.8,3.0
NPHAS_ISHK,2021-11-30 21:00:00,0.8,3.0
NPHAS_ISHK,2021-12-01 00:00:00,1.0,4.0
NPHAS_ISHK,2021-12-01 03:00:00,1.0,3.0
NPHAS_ISHK,2021-12-01 06:00:00,1.0,4.0
NPHAS_ISHK,2021-12-01 09:00:00,1.4,4.0
NPHAS_ISHK,2021-12-01 12:00:00,1.7,8.0
NPHAS_ISHK,2021-12-01 15:00:00,2.0,9.0
NPHAS_ISHK,2021-12-01 18:00:00,2.4,9.0
NPHAS_ISHK,2021-12-01 21:00:00,3.3,9.0
NPHAS_ISHK,2021-12-02 00:00:00,3.3,9.0
NPHAS_ISHK,2021-12-02 03:00:00,3.9,6.0
NPHAS_ISHK,2021-12-02 06:00:00,3.5,9.0
NPHAS_ISHK,2021-12-02 09:00:00,3.1,9.0
NPHAS_ISHK,2021-12-02 12:00:00,2.6,9.0
NPHAS_ISHK,2021-12-02 15:00:00,2.2,9.0
NPHAS_ISHK,2021-12-02 18:00:00,1.6,9.0
NPHAS_ISHK,2021-12-02 21:00:00,1.6,9.0
NPHAS_ISHK,2021-12-03 00:00:00,1.7,9.0
NPHAS_ISHK,2021-12-03 03:00:00,1.7,9.0
NPHAS_ISHK,2021-12-03 06:00:00,2.1,9.0
NPHAS_ISHK,2021-12-03 09:00:00,1.9,8.0
NPHAS_ISHK,2021-12-03 12:00:00,2.2,4.0
NPHAS_ISHK,2021-12-03 15:00:00,1.8,8.0
NPHAS_ISHK,2021-12-03 18:00:00,1.9,4.0
NPHAS_ISHK,2021-12-03 21:00:00,2.2,5.0
NPHAS_ISHK,2021-12-04 00:00:00,1.6,6.0
NPHAS_ISHK,2021-12-04 03:00:00,1.7,4.0
NPHAS_ISHK,2021-12-04 06:00:00,1.8,4.0
NPHAS_ISHK,2021-12-04 09:00:00,1.7,6.0
NPHAS_ISHK,2021-12-04 12:00:00,1.5,6.0
NPHAS_ISHK,2021-12-04 15:00:00,2.9,6.0
NPHAS_ISHK,2021-12-04 18:00:00,2.1,4.0
NPHAS_ISHK,2021-12-04 21:00:00,1.9,4.0
NPHAS_ISHK,2021-12-05 00:00:00,2.9,6.0
NPHAS_ISHK,2021-12-05 03:00:00,2.9,6.0
NPHAS_ISHK,2021-12-05 06:00:00,2.3,5.0
NPHAS_ISHK,2021-12-05 09:00:00,1.6,6.0
NPHAS_ISHK,2021-12-05 12:00:00,1.2,7.0
NPHAS_ISHK,2021-12-05 15:00:00,0.9,7.0
NPHAS_ISHK,2021-12-05 18:00:00,0.8,5.0
NPHAS_ISHK,2021-12-05 21:00:00,0.8,5.0
NPHAS_ISHK,2021-12-06 00:00:00,1.0,6.0
NPHAS_ISHK,2021-12-06 03:00:00,1.1,6.0
NPHAS_ISHK,2021-12-06 06:00:00,1.3,6.0
NPHAS_ISHK,2021-12-06 09:00:00,1.8,7.0
NPHAS_ISHK,2021-12-06 12:00:00,1.8,7.0
NPHAS_ISHK,2021-12-06 15:00:00,1.9,7.0
NPHAS_ISHK,2021-12-06 18:00:00,1.9,8.0
NPHAS_ISHK,2021-12-06 21:00:00,1.8,7.0
NPHAS_ISHK,2021-12-07 00:00:00,1.6,7.0
NPHAS_ISHK,2021-12-07 03:00:00,1.5,4.0
NPHAS_ISHK,2021-12-07 06:00:00,1.3,6.0
NPHAS_ISHK,2021-12-07 09:00:00,1.3,4.0
NPHAS_ISHK,2021-12-07 12:00:00,2.1,5.0
