AREA,ValidTimeUTC,SGFHGT,SGFPER
NPHAS_ISHK,2021-11-15 00:00:00,1.5,4.0
NPHAS_ISHK,2021-11-15 03:00:00,2.1,6.0
NPHAS_ISHK,2021-11-15 06:00:00,2.1,6.0
NPHAS_ISHK,2021-11-15 09:00:00,2.7,6.0
NPHAS_ISHK,2021-11-15 12:00:00,2.6,6.0
NPHAS_ISHK,2021-11-15 15:00:00,2.1,6.0
NPHAS_ISHK,2021-11-15 18:00:00,1.4,4.0
NPHAS_ISHK,2021-11-15 21:00:00,1.5,4.0
NPHAS_ISHK,2021-11-16 00:00:00,1.5,4.0
NPHAS_ISHK,2021-11-16 03:00:00,2.3,6.0
NPHAS_ISHK,2021-11-16 06:00:00,2.3,6.0
NPHAS_ISHK,2021-11-16 09:00:00,1.5,7.0
NPHAS_ISHK,2021-11-16 12:00:00,1.5,7.0
NPHAS_ISHK,2021-11-16 15:00:00,1.6,5.0
NPHAS_ISHK,2021-11-16 18:00:00,1.7,5.0
NPHAS_ISHK,2021-11-16 21:00:00,1.7,5.0
NPHAS_ISHK,2021-11-17 00:00:00,1.6,5.0
NPHAS_ISHK,2021-11-17 03:00:00,1.5,4.0
NPHAS_ISHK,2021-11-17 06:00:00,1.4,7.0
NPHAS_ISHK,2021-11-17 09:00:00,1.1,6.0
NPHAS_ISHK,2021-11-17 12:00:00,0.9,6.0
NPHAS_ISHK,2021-11-17 15:00:00,0.9,6.0
NPHAS_ISHK,2021-11-17 18:00:00,0.8,5.0
NPHAS_ISHK,2021-11-17 21:00:00,0.8,5.0
NPHAS_ISHK,2021-11-18 00:00:00,0.9,5.0
NPHAS_ISHK,2021-11-18 03:00:00,0.9,5.0
NPHAS_ISHK,2021-11-18 06:00:00,0.9,7.0
NPHAS_ISHK,2021-11-18 09:00:00,0.8,6.0
NPHAS_ISHK,2021-11-18 12:00:00,0.9,6.0
NPHAS_ISHK,2021-11-18 15:00:00,0.9,6.0
NPHAS_ISHK,2021-11-18 18:00:00,0.9,6.0
NPHAS_ISHK,2021-11-18 21:00:00,0.7,6.0
NPHAS_ISHK,2021-11-19 00:00:00,0.7,6.0
NPHAS_ISHK,2021-11-19 03:00:00,0.6,6.0
NPHAS_ISHK,2021-11-19 06:00:00,0.6,2.0
NPHAS_ISHK,2021-11-19 09:00:00,0.7,5.0
NPHAS_ISHK,2021-11-19 12:00:00,1.3,6.0
NPHAS_ISHK,2021-11-19 15:00:00,2.3,4.0
NPHAS_ISHK,2021-11-19 18:00:00,3.1,9.0
NPHAS_ISHK,2021-11-19 21:00:00,4.4,6.0
NPHAS_ISHK,2021-11-20 00:00:00,5.0,6.0
NPHAS_ISHK,2021-11-20 03:00:00,6.9,8.0
NPHAS_ISHK,2021-11-20 06:00:00,7.0,8.0
NPHAS_ISHK,2021-11-20 09:00:00,7.0,7.0
NPHAS_ISHK,2021-11-20 12:00:00,6.6,10.0
NPHAS_ISHK,2021-11-20 15:00:00,5.8,10.0
NPHAS_ISHK,2021-11-20 18:00:00,4.9,10.0
NPHAS_ISHK,2021-11-20 21:00:00,3.7,10.0
NPHAS_ISHK,2021-11-21 00:00:00,3.1,10.0
NPHAS_ISHK,2021-11-21 03:00:00,2.6,10.0
NPHAS_ISHK,2021-11-21 06:00:00,2.2,9.0
NPHAS_ISHK,2021-11-21 09:00:00,1.9,9.0
NPHAS_ISHK,2021-11-21 12:00:00,1.7,9.0
NPHAS_ISHK,2021-11-21 15:00:00,1.4,9.0
NPHAS_ISHK,2021-11-21 18:00:00,1.2,9.0
NPHAS_ISHK,2021-11-21 21:00:00,1.0,9.0
NPHAS_ISHK,2021-11-22 00:00:00,0.9,9.0
NPHAS_ISHK,2021-11-22 03:00:00,0.7,8.0
NPHAS_ISHK,2021-11-22 06:00:00,0.5,8.0
NPHAS_ISHK,2021-11-22 09:00:00,0.4,8.0
NPHAS_ISHK,2021-11-22 12:00:00,0.3,8.0
NPHAS_ISHK,2021-11-22 15:00:00,0.4,8.0
NPHAS_ISHK,2021-11-22 18:00:00,0.5,9.0
NPHAS_ISHK,2021-11-22 21:00:00,0.6,9.0
NPHAS_ISHK,2021-11-23 00:00:00,0.7,9.0
NPHAS_ISHK,2021-11-23 03:00:00,0.9,9.0
NPHAS_ISHK,2021-11-23 06:00:00,1.2,4.0
